step	time[s]	voltage[V]
5	5	4.0103333
10	10	3.993526
15	15	3.9814848
20	20	3.9723834
25	25	3.9652448
30	30	3.9595083
35	35	3.9548268
40	40	3.9509686
45	45	3.9477686
50	50	3.9451027
55	55	3.9428734
60	60	3.941001
65	65	3.9394194
70	70	3.9380729
75	75	3.9369143
80	80	3.9359049
85	85	3.9350126
90	90	3.9342119
95	95	3.9334822
100	100	3.9328071
105	105	3.9321732
110	110	3.9315693
115	115	3.9309864
120	120	3.9304165
125	125	3.9298528
130	130	3.9292893
135	135	3.9287206
140	140	3.928142
145	145	3.927549
150	150	3.9269379
155	155	3.9263052
160	160	3.9256477
165	165	3.9249627
170	170	3.924248
175	175	3.9235016
180	180	3.9227219
185	185	3.9219077
190	190	3.9210584
195	195	3.9201732
200	200	3.9192522
205	205	3.9182955
210	210	3.9173033
215	215	3.9162764
220	220	3.9152155
225	225	3.9141215
230	230	3.9129955
235	235	3.9118388
240	240	3.9106525
245	245	3.909438
250	250	3.9081967
255	255	3.9069299
260	260	3.9056392
265	265	3.9043259
270	270	3.9029915
275	275	3.9016373
280	280	3.9002649
285	285	3.8988755
290	290	3.8974705
295	295	3.8960513
300	300	3.8946191
305	305	3.8931752
310	310	3.8917207
315	315	3.8902569
320	320	3.8887849
325	325	3.8873058
330	330	3.8858206
335	335	3.8843303
340	340	3.8828358
345	345	3.8813382
350	350	3.8798382
355	355	3.8783367
360	360	3.8768344
365	365	3.8753322
370	370	3.8738307
375	375	3.8723306
380	380	3.8708325
385	385	3.8693371
390	390	3.8678448
395	395	3.8663563
400	400	3.8648719
405	405	3.8633922
410	410	3.8619176
415	415	3.8604484
420	420	3.8589851
425	425	3.8575279
430	430	3.8560773
435	435	3.8546334
440	440	3.8531966
445	445	3.851767
450	450	3.850345
455	455	3.8489306
460	460	3.847524
465	465	3.8461255
470	470	3.8447351
475	475	3.8433529
480	480	3.841979
485	485	3.8406135
490	490	3.8392565
495	495	3.837908
500	500	3.836568
505	505	3.8352365
510	510	3.8339135
515	515	3.8325991
520	520	3.8312931
525	525	3.8299955
530	530	3.8287063
535	535	3.8274254
540	540	3.8261527
545	545	3.824888
550	550	3.8236314
555	555	3.8223826
560	560	3.8211414
565	565	3.8199079
570	570	3.8186817
575	575	3.8174628
580	580	3.8162508
585	585	3.8150457
590	590	3.8138472
595	595	3.812655
600	600	3.811469
605	605	3.8102888
610	610	3.8091143
615	615	3.8079451
620	620	3.806781
625	625	3.8056216
630	630	3.8044667
635	635	3.8033159
640	640	3.802169
645	645	3.8010256
650	650	3.7998854
655	655	3.7987482
660	660	3.7976134
665	665	3.796481
670	670	3.7953504
675	675	3.7942215
680	680	3.7930938
685	685	3.7919672
690	690	3.7908413
695	695	3.7897158
700	700	3.7885905
705	705	3.7874651
710	710	3.7863392
715	715	3.7852128
720	720	3.7840856
725	725	3.7829572
730	730	3.7818276
735	735	3.7806966
740	740	3.7795639
745	745	3.7784294
750	750	3.7772929
755	755	3.7761543
760	760	3.7750134
765	765	3.7738703
770	770	3.7727246
775	775	3.7715764
780	780	3.7704256
785	785	3.769272
790	790	3.7681156
795	795	3.7669564
800	800	3.7657943
805	805	3.7646292
810	810	3.7634611
815	815	3.7622898
820	820	3.7611155
825	825	3.759938
830	830	3.7587573
835	835	3.7575733
840	840	3.7563861
845	845	3.7551955
850	850	3.7540015
855	855	3.7528041
860	860	3.7516032
865	865	3.7503988
