step	time[s]	voltage[V]
5	5	4.0426362
10	10	4.0290099
15	15	4.0196333
20	20	4.0128026
25	25	4.0076057
30	30	4.0035315
35	35	4.0002739
40	40	3.9976363
45	45	3.9954839
50	50	3.993719
55	55	3.9922673
60	60	3.9910704
65	65	3.9900813
70	70	3.9892612
75	75	3.9885774
80	80	3.9880026
85	85	3.9875132
90	90	3.9870891
95	95	3.986713
100	100	3.9863701
105	105	3.9860472
110	110	3.9857334
115	115	3.9854191
120	120	3.9850961
125	125	3.9847573
130	130	3.9843969
135	135	3.9840097
140	140	3.9835917
145	145	3.9831394
150	150	3.9826502
155	155	3.9821217
160	160	3.9815525
165	165	3.9809412
170	170	3.9802873
175	175	3.9795901
180	180	3.9788498
185	185	3.9780664
190	190	3.9772405
195	195	3.9763727
200	200	3.9754637
205	205	3.9745147
210	210	3.9735267
215	215	3.972501
220	220	3.9714388
225	225	3.9703417
230	230	3.9692109
235	235	3.9680481
240	240	3.9668548
245	245	3.9656325
250	250	3.9643827
255	255	3.963107
260	260	3.961807
265	265	3.9604842
270	270	3.9591401
275	275	3.9577762
280	280	3.956394
285	285	3.9549949
290	290	3.9535803
295	295	3.9521515
300	300	3.9507099
305	305	3.9492567
310	310	3.9477932
315	315	3.9463205
320	320	3.9448398
325	325	3.9433523
330	330	3.9418588
335	335	3.9403606
340	340	3.9388584
345	345	3.9373533
350	350	3.9358461
355	355	3.9343377
360	360	3.9328287
365	365	3.9313201
370	370	3.9298124
375	375	3.9283064
380	380	3.9268027
385	385	3.9253019
390	390	3.9238046
395	395	3.9223111
400	400	3.9208222
405	405	3.9193382
410	410	3.9178595
415	415	3.9163865
420	420	3.9149197
425	425	3.9134593
430	430	3.9120056
435	435	3.910559
440	440	3.9091197
445	445	3.907688
450	450	3.906264
455	455	3.904848
460	460	3.9034401
465	465	3.9020405
470	470	3.9006494
475	475	3.8992668
480	480	3.8978929
485	485	3.8965277
490	490	3.8951714
495	495	3.8938239
500	500	3.8924854
505	505	3.8911558
510	510	3.8898352
515	515	3.8885236
520	520	3.887221
525	525	3.8859273
530	530	3.8846426
535	535	3.8833668
540	540	3.8820999
545	545	3.8808418
550	550	3.8795925
555	555	3.8783519
560	560	3.8771199
565	565	3.8758965
570	570	3.8746816
575	575	3.8734751
580	580	3.8722769
585	585	3.8710868
590	590	3.8699049
595	595	3.8687309
600	600	3.8675648
605	605	3.8664065
610	610	3.8652558
615	615	3.8641126
620	620	3.8629768
625	625	3.8618483
630	630	3.8607268
635	635	3.8596124
640	640	3.8585047
645	645	3.8574038
650	650	3.8563095
655	655	3.8552215
660	660	3.8541398
665	665	3.8530642
670	670	3.8519946
675	675	3.8509307
680	680	3.8498725
685	685	3.8488198
690	690	3.8477724
695	695	3.8467301
700	700	3.8456928
705	705	3.8446604
710	710	3.8436325
715	715	3.8426092
720	720	3.8415901
725	725	3.8405751
730	730	3.8395641
735	735	3.8385568
740	740	3.8375531
745	745	3.8365528
750	750	3.8355556
755	755	3.8345614
760	760	3.83357
765	765	3.8325812
770	770	3.8315948
775	775	3.8306105
780	780	3.8296281
785	785	3.8286475
790	790	3.8276684
795	795	3.8266905
800	800	3.8257137
805	805	3.8247377
810	810	3.8237622
815	815	3.822787
820	820	3.8218118
825	825	3.8208364
830	830	3.8198604
835	835	3.8188836
840	840	3.8179057
845	845	3.8169264
850	850	3.8159454
855	855	3.8149623
860	860	3.8139768
865	865	3.8129885
870	870	3.8119971
875	875	3.8110022
880	880	3.8100035
885	885	3.8090004
890	890	3.8079926
895	895	3.8069796
900	900	3.805961
905	905	3.8049364
910	910	3.8039051
915	915	3.8028668
920	920	3.8018208
925	925	3.8007666
930	930	3.7997037
935	935	3.7986314
940	940	3.7975492
945	945	3.7964564
950	950	3.7953523
955	955	3.7942363
960	960	3.7931077
965	965	3.7919657
970	970	3.7908097
975	975	3.7896388
980	980	3.7884524
985	985	3.7872496
990	990	3.7860297
995	995	3.7847918
1000	1000	3.7835353
1005	1005	3.7822592
1010	1010	3.7809629
1015	1015	3.7796455
1020	1020	3.7783063
1025	1025	3.7769447
1030	1030	3.7755598
1035	1035	3.7741512
1040	1040	3.7727181
1045	1045	3.7712601
1050	1050	3.7697768
1055	1055	3.7682677
1060	1060	3.7667326
1065	1065	3.7651713
1070	1070	3.7635837
1075	1075	3.76197
1080	1080	3.7603302
1085	1085	3.7586648
1090	1090	3.7569741
1095	1095	3.7552589
1100	1100	3.7535198
1105	1105	3.7517578
1110	1110	3.7499739
1115	1115	3.7481694
1120	1120	3.7463455
1125	1125	3.7445039
1130	1130	3.7426461
1135	1135	3.7407737
1140	1140	3.7388887
1145	1145	3.7369928
1150	1150	3.7350881
1155	1155	3.7331764
1160	1160	3.7312597
1165	1165	3.7293402
1170	1170	3.7274196
1175	1175	3.7255
1180	1180	3.7235831
1185	1185	3.7216708
1190	1190	3.7197647
1195	1195	3.7178665
1200	1200	3.7159775
1205	1205	3.7140991
1210	1210	3.7122325
1215	1215	3.7103788
1220	1220	3.708539
1225	1225	3.7067137
1230	1230	3.7049037
1235	1235	3.7031095
1240	1240	3.7013316
1245	1245	3.6995702
1250	1250	3.6978255
1255	1255	3.6960977
1260	1260	3.6943867
1265	1265	3.6926924
1270	1270	3.6910148
1275	1275	3.6893536
1280	1280	3.6877086
1285	1285	3.6860795
1290	1290	3.684466
1295	1295	3.6828677
1300	1300	3.6812842
1305	1305	3.6797152
1310	1310	3.6781603
1315	1315	3.6766191
1320	1320	3.6750911
1325	1325	3.6735761
1330	1330	3.6720736
1335	1335	3.6705833
1340	1340	3.6691049
1345	1345	3.6676379
1350	1350	3.6661821
1355	1355	3.6647373
1360	1360	3.663303
1365	1365	3.6618792
1370	1370	3.6604654
1375	1375	3.6590616
1380	1380	3.6576674
1385	1385	3.6562828
1390	1390	3.6549076
1395	1395	3.6535416
1400	1400	3.6521846
1405	1405	3.6508366
1410	1410	3.6494974
1415	1415	3.648167
1420	1420	3.6468453
1425	1425	3.6455321
1430	1430	3.6442276
1435	1435	3.6429314
1440	1440	3.6416438
1445	1445	3.6403645
1450	1450	3.6390936
1455	1455	3.637831
1460	1460	3.6365767
1465	1465	3.6353308
1470	1470	3.634093
1475	1475	3.6328636
1480	1480	3.6316423
1485	1485	3.6304293
1490	1490	3.6292245
1495	1495	3.6280278
1500	1500	3.6268393
1505	1505	3.6256589
1510	1510	3.6244867
1515	1515	3.6233226
1520	1520	3.6221665
1525	1525	3.6210185
1530	1530	3.6198785
1535	1535	3.6187465
1540	1540	3.6176224
1545	1545	3.6165062
1550	1550	3.6153979
1555	1555	3.6142974
1560	1560	3.6132047
1565	1565	3.6121196
1570	1570	3.6110423
1575	1575	3.6099725
1580	1580	3.6089103
1585	1585	3.6078555
1590	1590	3.6068081
1595	1595	3.6057681
1600	1600	3.6047353
1605	1605	3.6037097
1610	1610	3.6026912
1615	1615	3.6016796
1620	1620	3.6006751
1625	1625	3.5996773
1630	1630	3.5986863
1635	1635	3.5977019
1640	1640	3.5967241
1645	1645	3.5957528
1650	1650	3.5947878
1655	1655	3.5938291
1660	1660	3.5928765
1665	1665	3.59193
1670	1670	3.5909894
1675	1675	3.5900547
1680	1680	3.5891257
1685	1685	3.5882024
1690	1690	3.5872845
1695	1695	3.5863721
1700	1700	3.585465
1705	1705	3.5845631
1710	1710	3.5836662
1715	1715	3.5827744
1720	1720	3.5818873
1725	1725	3.5810051
1730	1730	3.5801275
1735	1735	3.5792544
1740	1740	3.5783857
1745	1745	3.5775213
1750	1750	3.5766611
1755	1755	3.575805
1760	1760	3.5749529
1765	1765	3.5741046
1770	1770	3.5732601
1775	1775	3.5724193
1780	1780	3.5715819
1785	1785	3.570748
1790	1790	3.5699175
1795	1795	3.5690901
1800	1800	3.5682658
1805	1805	3.5674446
1810	1810	3.5666262
1815	1815	3.5658107
1820	1820	3.5649978
1825	1825	3.5641875
1830	1830	3.5633797
1835	1835	3.5625742
1840	1840	3.5617711
1845	1845	3.5609701
1850	1850	3.5601712
1855	1855	3.5593743
1860	1860	3.5585792
1865	1865	3.5577859
1870	1870	3.5569943
1875	1875	3.5562043
1880	1880	3.5554157
1885	1885	3.5546285
1890	1890	3.5538426
1895	1895	3.5530579
1900	1900	3.5522743
1905	1905	3.5514916
1910	1910	3.5507098
1915	1915	3.5499289
1920	1920	3.5491486
1925	1925	3.5483689
1930	1930	3.5475898
1935	1935	3.546811
1940	1940	3.5460325
1945	1945	3.5452543
1950	1950	3.5444761
1955	1955	3.5436979
1960	1960	3.5429197
1965	1965	3.5421413
1970	1970	3.5413625
1975	1975	3.5405834
1980	1980	3.5398038
1985	1985	3.5390236
1990	1990	3.5382426
1995	1995	3.5374609
2000	2000	3.5366783
2005	2005	3.5358946
2010	2010	3.5351098
2015	2015	3.5343237
2020	2020	3.5335364
2025	2025	3.5327475
2030	2030	3.5319571
2035	2035	3.531165
2040	2040	3.5303711
2045	2045	3.5295753
2050	2050	3.5287774
2055	2055	3.5279774
2060	2060	3.5271751
2065	2065	3.5263704
2070	2070	3.5255631
2075	2075	3.5247532
2080	2080	3.5239405
2085	2085	3.5231249
2090	2090	3.5223063
2095	2095	3.5214844
2100	2100	3.5206592
2105	2105	3.5198306
2110	2110	3.5189983
2115	2115	3.5181623
2120	2120	3.5173224
2125	2125	3.5164785
2130	2130	3.5156303
2135	2135	3.5147778
2140	2140	3.5139208
2145	2145	3.5130592
2150	2150	3.5121927
