step	time[s]	voltage[V]
5	5	4.0118711
10	10	3.995144
15	15	3.983094
20	20	3.9739463
25	25	3.9667373
30	30	3.9609123
35	35	3.9561277
40	40	3.9521546
45	45	3.9488309
50	50	3.9460361
55	55	3.9436764
60	60	3.9416773
65	65	3.9399777
70	70	3.9385271
75	75	3.937283
80	80	3.9362093
85	85	3.9352752
90	90	3.9344542
95	95	3.9337234
100	100	3.9330631
105	105	3.9324562
110	110	3.9318879
115	115	3.9313454
120	120	3.9308176
125	125	3.930295
130	130	3.9297694
135	135	3.9292339
140	140	3.9286825
145	145	3.9281103
150	150	3.9275131
155	155	3.9268875
160	160	3.9262308
165	165	3.9255409
170	170	3.9248159
175	175	3.9240549
180	180	3.9232569
185	185	3.9224216
190	190	3.9215488
195	195	3.9206386
200	200	3.9196915
205	205	3.9187079
210	210	3.9176888
215	215	3.9166349
220	220	3.9155472
225	225	3.914427
230	230	3.9132753
235	235	3.9120936
240	240	3.9108831
245	245	3.9096451
250	250	3.9083812
255	255	3.9070926
260	260	3.9057809
265	265	3.9044473
270	270	3.9030935
275	275	3.9017207
280	280	3.9003303
285	285	3.8989236
290	290	3.8975021
295	295	3.896067
300	300	3.8946195
305	305	3.8931609
310	310	3.8916924
315	315	3.8902151
320	320	3.8887301
325	325	3.8872385
330	330	3.8857413
335	335	3.8842395
340	340	3.882734
345	345	3.8812257
350	350	3.8797156
355	355	3.8782043
360	360	3.8766927
365	365	3.8751815
370	370	3.8736713
375	375	3.872163
380	380	3.870657
385	385	3.869154
390	390	3.8676545
395	395	3.8661591
400	400	3.8646681
405	405	3.8631821
410	410	3.8617015
415	415	3.8602267
420	420	3.858758
425	425	3.8572958
430	430	3.8558404
435	435	3.8543921
440	440	3.8529511
445	445	3.8515177
450	450	3.850092
455	455	3.8486744
460	460	3.8472648
465	465	3.8458636
470	470	3.8444709
475	475	3.8430867
480	480	3.8417112
485	485	3.8403444
490	490	3.8389865
495	495	3.8376375
500	500	3.8362974
505	505	3.8349662
510	510	3.8336441
515	515	3.8323309
520	520	3.8310267
525	525	3.8297315
530	530	3.8284453
535	535	3.827168
540	540	3.8258995
545	545	3.8246399
550	550	3.8233891
555	555	3.8221469
560	560	3.8209134
565	565	3.8196885
570	570	3.8184721
575	575	3.817264
580	580	3.8160643
585	585	3.8148727
590	590	3.8136893
595	595	3.8125138
600	600	3.8113462
605	605	3.8101864
610	610	3.8090342
615	615	3.8078895
620	620	3.8067521
625	625	3.8056221
630	630	3.8044991
635	635	3.8033832
640	640	3.8022741
645	645	3.8011717
650	650	3.8000758
655	655	3.7989863
660	660	3.7979032
665	665	3.7968261
670	670	3.7957549
675	675	3.7946896
680	680	3.7936299
685	685	3.7925757
690	690	3.7915268
695	695	3.790483
700	700	3.7894443
705	705	3.7884103
710	710	3.787381
715	715	3.7863562
720	720	3.7853356
725	725	3.7843192
730	730	3.7833067
735	735	3.782298
740	740	3.7812928
745	745	3.780291
750	750	3.7792923
755	755	3.7782967
760	760	3.7773038
765	765	3.7763136
770	770	3.7753257
775	775	3.7743399
780	780	3.7733561
785	785	3.7723741
790	790	3.7713935
795	795	3.7704142
800	800	3.7694359
805	805	3.7684585
810	810	3.7674815
815	815	3.7665049
820	820	3.7655283
825	825	3.7645514
830	830	3.763574
835	835	3.7625958
840	840	3.7616165
845	845	3.7606358
850	850	3.7596533
855	855	3.7586688
860	860	3.7576819
865	865	3.7566922
870	870	3.7556994
875	875	3.7547031
880	880	3.753703
885	885	3.7526985
890	890	3.7516893
895	895	3.7506749
900	900	3.749655
905	905	3.7486289
910	910	3.7475963
915	915	3.7465565
920	920	3.7455092
925	925	3.7444536
930	930	3.7433893
935	935	3.7423157
940	940	3.7412321
945	945	3.7401379
950	950	3.7390324
955	955	3.7379151
960	960	3.7367851
965	965	3.7356418
970	970	3.7344844
975	975	3.7333122
980	980	3.7321244
985	985	3.7309202
990	990	3.729699
995	995	3.7284598
1000	1000	3.7272019
1005	1005	3.7259245
1010	1010	3.7246268
1015	1015	3.7233081
1020	1020	3.7219676
1025	1025	3.7206046
1030	1030	3.7192185
1035	1035	3.7178085
1040	1040	3.7163741
1045	1045	3.7149148
1050	1050	3.7134301
1055	1055	3.7119197
1060	1060	3.7103833
1065	1065	3.7088207
1070	1070	3.7072318
1075	1075	3.7056168
1080	1080	3.7039757
1085	1085	3.702309
